CODE,8B_BYTE,H_A,A_H,RD_M(a_j),RD_P(a_j),RD_M_HEX,RD_P_HEX
D21_7,F5,11110101,10101111,1010101110,1010100001,2AE,2A1
D22_7,F6,11110110,01101111,0110101110,0110100001,1AE,1A1
D23_7,F7,11110111,11101111,1110100001,0001011110,3A1,5E
D24_7,F8,11111000,00011111,1100110001,0011001110,331,CE
D25_7,F9,11111001,10011111,1001101110,1001100001,26E,261
D26_7,FA,11111010,01011111,0101101110,0101100001,16E,161
D27_7,FB,11111011,11011111,1101100001,0010011110,361,9E
D28_7,FC,11111100,00111111,0011101110,0011100001,EE,E1
D29_7,FD,11111101,10111111,1011100001,0100011110,2E1,11E
D30_7,FE,11111110,01111111,0111100001,1000011110,1E1,21E
D31_7,FF,11111111,11111111,1010110001,0101001110,2B1,14E
K28_0,1C,00011100,00111000,0011110100,1100001011,F4,30B
K28_1,3C,00111100,00111100,0011111001,1100000110,F9,306
K28_2,5C,01011100,00111010,0011110101,1100001010,F5,30A
K28_3,7C,01111100,00111110,0011110011,1100001100,F3,30C
K28_4,9C,10011100,00111001,0011110010,1100001101,F2,30D
K28_5,BC,10111100,00111101,0011111010,1100000101,FA,305
K28_6,DC,11011100,00111011,0011110110,1100001001,F6,309
K28_7,FC,11111100,00111111,0011111000,1100000111,F8,307
K23_7,F7,11110111,11101111,1110101000,0001010111,3A8,57
K27_7,FB,11111011,11011111,1101101000,0010010111,368,97
K29_7,FD,11111101,10111111,1011101000,0100010111,2E8,117
K30_7,FE,11111110,01111111,0111101000,1000010111,1E8,217
